A000    1 0010  
A001    1 0011  
A009    1 0019  
A0100   1 0020  
A0101   1 0020  
A0102   1 0020  
A0103   1 0020  
A0104   1 0020  
A0105   1 0020  
A0109   1 0020  
A011    1 0021  
A012    1 0022  
A013    1 0023  
A014    1 0029  
A020    1 0030  
A021    2 0031  99591 
A0220   1 00320 
A0221   1 00321 
A0222   1 00322 
A0223   1 00323 
A0224   1 00324 
A0225   1 00329 
A0229   1 00329 
A028    1 0038  
A029    1 0039  
A030    1 0040  
A031    1 0041  
A032    1 0042  
A033    1 0043  
A038    1 0048  
A039    1 0049  
A040    1 00801 
A041    1 00802 
A042    1 00803 
A043    1 00804 
A044    1 00800 
A045    1 00843 
A046    1 00844 
A047    1 00845 
A048    1 00849 
A049    1 0085  
A050    1 0050  
A051    1 0051  
A052    1 0052  
A053    1 0054  
A054    1 00589 
A055    1 00581 
A058    1 00589 
A059    1 0059  
A060    1 0060  
A061    1 0061  
A062    1 0062  
A063    1 0068  
A064    1 0063  
A065    1 0064  
A066    1 0065  
A067    1 0066  
A0681   1 0068  
A0682   1 0068  
A0689   1 0068  
A069    1 0069  
A070    1 0070  
A071    1 0071  
A072    1 0074  
A073    1 0072  
A074    1 0075  
A078    1 0078  
A079    1 0079  
A080    1 00861 
A0811   1 00863 
A0819   1 00864 
A082    1 00862 
A0831   1 00865 
A0832   1 00866 
A0839   1 00869 
A084    1 0088  
A088    1 0088  
A09     1 0090  
A150    1 01190 
A154    1 01210 
A155    1 01130 
A156    1 01200 
A157    1 01090 
A158    1 01280 
A159    1 01280 
A170    1 01300 
A171    1 01310 
A1781   1 01320 
A1782   1 01360 
A1783   1 01790 
A1789   1 01380 
A179    1 01790 
A1801   1 01500 
A1802   1 01510 
A1803   1 01570 
A1809   1 01590 
A1810   1 01690 
A1811   1 01600 
A1812   1 01610 
A1813   1 01630 
A1814   1 01650 
A1815   1 01650 
A1816   1 01670 
A1817   1 01670 
A1818   1 01670 
A182    1 01720 
A1831   1 01400 
A1832   1 01480 
A1839   1 01480 
A184    1 01700 
A1850   1 01730 
A1851   1 01730 
A1852   1 01730 
A1853   1 01730 
A1854   1 01730 
A1859   1 01730 
A186    1 01740 
A187    1 01760 
A1881   1 01750 
A1882   1 01790 
A1883   1 01480 
A1884   1 01790 
A1885   1 01770 
A1889   1 01790 
A190    1 01800 
A191    1 01800 
A192    1 01800 
A198    1 01880 
A199    1 01890 
A200    1 0200  
A201    1 0201  
A202    1 0205  
A203    1 0208  
A207    1 0202  
A208    1 0208  
A209    1 0209  
A210    1 0210  
A211    1 0213  
A212    1 0212  
A213    1 0211  
A217    1 0218  
A218    1 0218  
A219    1 0219  
A220    1 0220  
A221    2 0221  4845  
A222    1 0222  
A227    2 0223  99591 
A228    1 0228  
A229    1 0229  
A230    1 0230  
A231    1 0231  
A232    1 0232  
A233    1 0233  
A238    1 0238  
A239    1 0239  
A240    1 024   
A241    1 025   
A242    1 025   
A243    1 025   
A249    1 025   
A250    1 0260  
A251    1 0261  
A259    1 0269  
A260    1 0271  
A267    2 0271  99591 
A268    1 0271  
A269    1 0271  
A270    1 1000  
A2781   1 10081 
A2789   1 10089 
A279    1 1009  
A280    1 0272  
A281    1 0783  
A282    1 0278  
A288    1 0278  
A289    1 0279  
A300    1 0302  
A301    1 0301  
A302    1 0303  
A303    1 0303  
A304    1 0303  
A305    1 0300  
A308    1 0308  
A309    1 0309  
A310    1 0310  
A311    1 0311  
A312    1 0312  
A318    1 0318  
A319    1 0319  
A320    1 0270  
A3211   1 0270  
A3212   1 0270  
A327    2 0270  99591 
A3281   1 0270  
A3282   1 0270  
A3289   1 0270  
A329    1 0270  
A33     1 7713  
A34     1 6390  
A35     1 037   
A360    1 0320  
A361    1 0321  
A362    1 0323  
A363    1 03285 
A3681   1 03282 
A3682   1 03289 
A3683   1 03289 
A3684   1 03289 
A3685   1 03284 
A3686   1 03281 
A3689   1 03289 
A369    1 0329  
A3700   1 0330  
A3701   2 0330  4843  
A3710   1 0331  
A3711   2 0331  4843  
A3780   1 0338  
A3781   2 0338  4843  
A3790   1 0339  
A3791   2 0339  4843  
A380    1 0341  
A381    1 0341  
A388    1 0341  
A389    1 0341  
A390    1 0360  
A391    1 0363  
A392    1 0362  
A393    1 0362  
A394    1 0362  
A3950   1 03640 
A3951   1 03642 
A3952   1 03643 
A3953   1 03641 
A3981   1 0361  
A3982   1 03681 
A3983   1 03682 
A3984   1 03682 
A3989   1 03689 
A399    1 0369  
A400    2 0380  99591 
A401    2 0380  99591 
A403    2 0380  99591 
A408    2 0380  99591 
A409    2 0380  99591 
A4101   2 03811 99591 
A4102   2 03812 99591 
A411    2 03819 99591 
A412    2 03810 99591 
A413    2 03841 99591 
A414    2 0383  99591 
A4150   2 03840 99591 
A4151   2 03842 99591 
A4152   2 03843 99591 
A4153   2 03844 99591 
A4159   2 03849 99591 
A4181   2 0388  99591 
A4189   2 0388  99591 
A419    2 0389  99591 
A420    1 0391  
A421    1 0392  
A422    1 0393  
A427    2 0388  99591 
A4281   1 0398  
A4282   1 0398  
A4289   1 0398  
A429    1 0399  
A430    1 0391  
A431    1 0390  
A438    1 0398  
A439    1 0399  
A440    1 0880  
A441    1 0880  
A448    1 0880  
A449    1 0880  
A46     1 035   
A480    1 0400  
A481    1 48284 
A482    1 04089 
A483    1 04082 
A484    1 04089 
A4851   1 04041 
A4852   1 04042 
A488    1 04089 
A4901   1 04111 
A4902   1 04112 
A491    1 04100 
A492    1 0415  
A493    1 04181 
A498    1 04189 
A499    1 0419  
A5001   1 0900  
A5002   1 0900  
A5003   1 0900  
A5004   1 0900  
A5005   1 0900  
A5006   1 0900  
A5007   1 0900  
A5008   1 0900  
A5009   1 0900  
A501    1 0901  
A502    1 0902  
A5030   1 0905  
A5031   1 0903  
A5032   1 0905  
A5039   1 0905  
A5040   1 09040 
A5041   1 09042 
A5042   1 09041 
A5043   1 09040 
A5044   1 0905  
A5045   1 09040 
A5049   1 09049 
A5051   1 0905  
A5052   1 0905  
A5053   1 0905  
A5054   1 0905  
A5055   1 0905  
A5056   1 0905  
A5057   1 0905  
A5059   1 0905  
A506    1 0906  
A507    1 0907  
A509    1 0909  
A510    1 0910  
A511    1 0911  
A512    1 0912  
A5131   1 0913  
A5132   1 09182 
A5139   1 0913  
A5141   1 09181 
A5142   1 09189 
A5143   1 09152 
A5144   1 09189 
A5145   1 09162 
A5146   1 09161 
A5149   1 09189 
A515    1 0929  
A519    1 0929  
A5200   1 0939  
A5201   1 0930  
A5202   1 0931  
A5203   1 09320 
A5204   1 09389 
A5205   1 09389 
A5206   1 09382 
A5209   1 09389 
A5210   1 0949  
A5211   1 0940  
A5212   1 09489 
A5213   1 0942  
A5214   1 09481 
A5215   2 09489 3574  
A5216   2 0940  7135  
A5217   1 0941  
A5219   1 09489 
A522    1 0943  
A523    1 0949  
A5271   1 0950  
A5272   1 0951  
A5273   1 0958  
A5274   1 0953  
A5275   1 0954  
A5276   1 0958  
A5277   1 0955  
A5278   1 0957  
A5279   1 0958  
A528    1 096   
